Region,CHEDI
Beijing,2.2113869161337716
Tianjin,2.133454106772083
Hebei,0.8656101574083973
Shanxi,1.2487612357339715
Inner Mongolia,1.1529731374033185
Liaoning,1.412071813145312
Jilin,1.3150963008919874
Heilongjiang,1.282772604034786
Shanghai,1.3624551940736696
Jiangsu,1.0417963997204658
Zhejiang,0.9071224727400463
Anhui,1.0319214842066826
Fujian,1.1426155042130297
Jiangxi,1.1908369354638608
Shandong,0.7581483634966819
Henan,0.7424704863347686
Hubei,1.1397926670043375
Hunan,0.9846870268020186
Guangdong,0.6485813036657182
Guangxi,0.7987977101018449
Hainan,1.0730895510859
Chongqing,1.0827585527317893
Sichuan,0.7535097870496099
Guizhou,0.992565719779925
Yunnan,0.8850535955150112
Tibet,1.0418668890062819
Shaanxi,1.2733213459781685
Gansu,1.0265392250328298
Qinghai,1.0771113517884365
Ningxia,1.4099792143775156
Xinjiang,1.0454106539348746
