Region,CHEDI,Scaled Inflow,Relative GRP
Beijing,2.211386916133772,1.9745596868884536,0.0362163507426561
Tianjin,2.133454106772083,1.6461824953445066,0.0146183614250903
Hebei,0.8656101574083973,-0.0363999002742458,0.0355475089362144
Shanxi,1.2487612357339717,-0.1861873990306947,0.0174573837608403
Inner Mongolia,1.1529731374033183,-0.16473000683527,0.0176572486578585
Liaoning,1.412071813145312,0.2403100775193798,0.0257193413319403
Jilin,1.3150963008919874,0.318557475582269,0.0123111088016584
Heilongjiang,1.282772604034786,0.0939745715865118,0.0140534449892929
Shanghai,1.3624551940736696,1.6165703275529866,0.0393951543428498
Jiangsu,1.0417963997204658,0.5323303457106274,0.101964572388123
Zhejiang,0.9071224727400464,0.0580339518357679,0.0634522367201153
Anhui,1.0319214842066826,-0.1684723726977248,0.0372062672468255
Fujian,1.1426155042130297,0.0756914119359535,0.042322567941211
Jiangxi,1.1908369354638608,-0.0269293924466338,0.0248507440236074
Shandong,0.7581483634966819,0.0065442646791492,0.0729106487951494
Henan,0.7424704863347686,-0.0584140435835351,0.0546274412206308
Hubei,1.1397926670043377,0.4760522496371553,0.0459700202654472
Hunan,0.9846870268020186,0.0469135802469134,0.0397429214515639
Guangdong,0.6485813036657182,-0.1132250580046404,0.1093351784644753
Guangxi,0.7987977101018449,-0.0436105476673427,0.0214718567361416
Hainan,1.0730895510859,-0.043859649122807,0.0053720665012977
Chongqing,1.0827585527317891,0.0470357667809897,0.0236170951764953
Sichuan,0.7535097870496099,-0.0550114607209835,0.046932806778122
Guizhou,0.992565719779925,-0.3430127041742287,0.0167956526376532
Yunnan,0.8850535955150112,-0.1824902723735407,0.0228423588871233
Tibet,1.041866889006282,-0.5026178010471204,0.0016938741463761
Shaanxi,1.2733213459781685,0.0748195974173947,0.0261912719097927
Gansu,1.0265392250328298,-0.3192441571357534,0.0088654904867262
Qinghai,1.0771113517884363,-0.4757033248081842,0.0030061780897969
Ningxia,1.4099792143775156,-0.3307839388145316,0.0038399877477457
Xinjiang,1.0454106539348746,-0.357504215851602,0.0140128593971781
