Region,CHEDI,Scaled Inflow
Beijing,2.211386916133772,1.9745596868884536
Tianjin,2.133454106772083,1.6461824953445066
Hebei,0.8656101574083973,-0.0363999002742458
Shanxi,1.2487612357339717,-0.1861873990306947
Inner Mongolia,1.1529731374033183,-0.16473000683527
Liaoning,1.412071813145312,0.2403100775193798
Jilin,1.3150963008919874,0.318557475582269
Heilongjiang,1.282772604034786,0.0939745715865118
Shanghai,1.3624551940736696,1.6165703275529866
Jiangsu,1.0417963997204658,0.5323303457106274
Zhejiang,0.9071224727400464,0.0580339518357679
Anhui,1.0319214842066826,-0.1684723726977248
Fujian,1.1426155042130297,0.0756914119359535
Jiangxi,1.1908369354638608,-0.0269293924466338
Shandong,0.7581483634966819,0.0065442646791492
Henan,0.7424704863347686,-0.0584140435835351
Hubei,1.1397926670043377,0.4760522496371553
Hunan,0.9846870268020186,0.0469135802469134
Guangdong,0.6485813036657182,-0.1132250580046404
Guangxi,0.7987977101018449,-0.0436105476673427
Hainan,1.0730895510859,-0.043859649122807
Chongqing,1.0827585527317891,0.0470357667809897
Sichuan,0.7535097870496099,-0.0550114607209835
Guizhou,0.992565719779925,-0.3430127041742287
Yunnan,0.8850535955150112,-0.1824902723735407
Tibet,1.041866889006282,-0.5026178010471204
Shaanxi,1.2733213459781685,0.0748195974173947
Gansu,1.0265392250328298,-0.3192441571357534
Qinghai,1.0771113517884363,-0.4757033248081842
Ningxia,1.4099792143775156,-0.3307839388145316
Xinjiang,1.0454106539348746,-0.357504215851602
