Region,CHEDI,CHEI,CHEQI,Foreign Enterprises,GRP per Capita,GRP,Humanities Cutoff,Imports Exports,Inflow,Population,Relative GRP,Scaled Inflow,Science Cutoff,Senior Graduates,Testtakers,Tourism Earnings,UG Enrollment,Undergraduate Institutions,Unemployment,Urban Employment,Weighted Testtakers
Zhejiang,0.9071224727400464,0.1575927503500697,14.614,40191.0,9.246421170094054,58002.8,490.0,432360099.0,1.4700000000000024,6273.0,0.0634522367201153,0.0580339518357679,490.0,25.33,30.6,2595.79,26.8,108.0,2.6,1013.5,1.2080536912751678
Anhui,1.0319214842066826,0.1570129403737533,9.316,6611.0,5.59758064516129,34010.9,486.0,62840317.0,-6.220000000000002,6076.0,0.0372062672468255,-0.1684723726977248,432.0,36.92,49.9,3187.57,30.7,119.0,2.8,592.3,1.3515709642470204
Fujian,1.1426155042130297,0.1998063397812352,10.281,30150.0,9.426851851851852,38687.8,446.0,187407290.0,1.5600000000000025,4104.0,0.042322567941211,0.0756914119359535,378.0,20.61,20.1,2828.21,22.17,89.0,3.7,705.4,0.975254730713246
Jiangxi,1.1908369354638608,0.1969759035929961,7.893,6137.0,5.033569687569244,22716.5,496.0,48187584.0,-0.8200000000000003,4513.0,0.0248507440236074,-0.0269293924466338,447.0,30.45,38.0,745.38,29.63,102.0,3.4,435.7,1.2479474548440066
Shandong,0.7581483634966819,0.0573651769496853,7.739,30733.0,6.613962488835963,66648.9,505.0,292397074.0,0.3599999999999994,10077.0,0.0729106487951494,0.0065442646791492,435.0,55.01,59.2,3292.82,55.37,145.0,3.4,1129.0,1.0761679694600983
Henan,0.7424704863347686,0.0508430059721775,7.542,8257.0,5.062439172749392,49935.9,436.0,82813633.0,-3.86,9864.0,0.0546274412206308,-0.0584140435835351,374.0,66.08,98.38,723.23,62.22,139.0,3.0,967.3,1.4888014527845037
Hubei,1.1397926670043377,0.2409782907125132,15.784,11761.0,7.1019097515632925,42022.0,441.0,52781547.0,13.12,5917.0,0.0459700202654472,0.4760522496371553,375.0,27.56,37.4,2379.69,40.68,128.0,2.6,653.3,1.3570391872278664
Hunan,0.9846870268020186,0.1500589858679779,10.383,8765.0,5.475463451394122,36329.7,526.0,46474201.0,1.7099999999999935,6635.0,0.0397429214515639,0.0469135802469134,450.0,36.45,48.2,1520.41,38.16,124.0,3.6,546.3,1.3223593964334706
Guangdong,0.6485813036657182,0.0202079669699518,7.464,170968.0,8.094039520570133,99945.2,443.0,1084464573.0,-7.320000000000007,12348.0,0.1093351784644753,-0.1132250580046404,376.0,64.65,75.8,20511.74,57.33,152.0,2.4,1994.1,1.1724671307037895
Guangxi,0.7987977101018449,0.0595974292640105,6.33,5333.0,3.967616737416616,19627.8,403.0,62302266.0,-1.2899999999999991,4947.0,0.0214718567361416,-0.0436105476673427,345.0,29.58,40.0,2777.73,28.29,75.0,2.3,386.8,1.352265043948614
Hainan,1.0730895510859,0.1588988791353206,7.84,2707.0,5.00071283095723,4910.7,579.0,12733530.0,-0.25,982.0,0.0053720665012977,-0.043859649122807,539.0,5.7,5.8,770.52,5.45,20.0,2.3,99.6,1.0175438596491226
Chongqing,1.0827585527317891,0.1948159649707798,12.133,6299.0,6.825418906101802,21588.8,434.0,79016913.0,0.9600000000000009,3163.0,0.0236170951764953,0.0470357667809897,428.0,20.41,25.0,2189.89,21.37,65.0,3.0,391.2,1.224889759921607
Sichuan,0.7535097870496099,0.0563398734247312,7.799,12502.0,5.15588270640548,42902.1,492.0,89921137.0,-2.640000000000001,8321.0,0.046932806778122,-0.0550114607209835,458.0,47.99,62.0,1511.65,45.35,119.0,3.5,780.6,1.2919358199624922
Guizhou,0.992565719779925,0.1100534875770541,4.821,1891.0,4.017059131344846,15353.2,477.0,7602857.0,-11.340000000000003,3822.0,0.0167956526376532,-0.3430127041742287,379.0,33.06,44.2,317.63,21.72,72.0,3.2,308.5,1.336963097398669
Yunnan,0.8850535955150112,0.0881037704384999,6.449,4343.0,4.439846906230065,20880.6,490.0,29857965.0,-4.689999999999998,4703.0,0.0228423588871233,-0.1824902723735407,430.0,25.7,30.0,4418.0,21.01,79.0,3.4,427.0,1.1673151750972763
Tibet,1.041866889006282,0.1327539117027361,5.727,266.0,4.374011299435028,1548.4,355.0,723178.0,-0.96,354.0,0.0016938741463761,-0.5026178010471204,335.0,1.91,2.5,247.09,0.95,7.0,2.8,36.9,1.3089005235602096
Shaanxi,1.2733213459781685,0.3184036002448208,20.323,5856.0,6.090536759094379,23941.9,467.0,53304882.0,1.9700000000000024,3931.0,0.0261912719097927,0.0748195974173947,425.0,26.33,31.9,3126.66,28.3,95.0,3.2,493.2,1.2115457652867452
Gansu,1.0265392250328298,0.1574623740781167,9.6,2342.0,3.222306163021869,8104.1,456.0,6013027.0,-6.42,2515.0,0.0088654904867262,-0.3192441571357534,436.0,20.11,27.3,28.3,13.69,49.0,2.8,246.7,1.357533565390353
Qinghai,1.0771113517884363,0.1611031050251528,7.96,519.0,4.681431005110732,2748.0,424.0,727175.0,-1.8600000000000003,587.0,0.0030061780897969,-0.4757033248081842,365.0,3.91,4.2,36.13,2.05,12.0,3.0,62.7,1.0741687979539642
Ningxia,1.4099792143775156,0.2607722519931049,7.067,762.0,4.943943661971831,3510.2,498.0,3776564.0,-1.7300000000000004,710.0,0.0038399877477457,-0.3307839388145316,432.0,5.23,6.9,55.87,3.5,19.0,3.9,68.0,1.3193116634799236
Xinjiang,1.0454106539348746,0.1319380043777225,5.472,1659.0,5.083095238095238,12809.4,372.0,19999747.0,-6.359999999999999,2520.0,0.0140128593971781,-0.357504215851602,341.0,17.79,20.7,946.37,11.43,50.0,2.4,305.2,1.163575042158516
